Iteration cd
1 0.7099854836386776
2 0.3490574783774626
3 0.2381872988385408
4 0.1138832944660824
5 0.06402222332060012
6 0.04917733632027876
7 0.05120842176732457
8 0.06050025399127278
9 0.06964524963096617
10 0.07555077791387607
11 0.07821136229917065
12 0.08016018171732571
13 0.07985248285360513
14 0.07384160248896264
15 0.0650057878681637
16 0.05668312041970956
17 0.05131315959095682
18 0.05018435363988086
19 0.04918187366724311
20 0.04657385133454787
21 0.04386766022203025
22 0.04288698560857406
23 0.04356342003424219
24 0.0449662463978724
25 0.04571041528305479
26 0.0452445704695202
27 0.04434981181301817
28 0.0440222410517698
29 0.04478519185917162
30 0.04501580381062829
31 0.04267916256573684
32 0.03858384267583879
33 0.03430625844484024
34 0.03065109048420981
35 0.02774026038860916
36 0.02578631230248248
37 0.0246988571061378
38 0.02422526874422797
39 0.02405929085965544
40 0.02395770595274626
41 0.02373827282161369
42 0.02329280567945169
43 0.0225729853397056
44 0.02163710805823612
45 0.02059697968569565
46 0.01961876322067934
47 0.0188709211515311
48 0.0183928335159485
49 0.01812991669047883
50 0.01796093542818781
51 0.01780488318280334
52 0.01763357408824455
53 0.01746109809274309
54 0.01730659120516924
55 0.01718983007563298
56 0.01711190932444622
57 0.01706498835545207
58 0.01703648103514099
59 0.01701857217293155
60 0.01700673593116194
61 0.01699855933444535
62 0.01699358142864118
63 0.01699080711846447
64 0.01698961531632855
65 0.01698960501351328
66 0.01699063370570382
67 0.01699129323747923
68 0.01699237506725767
69 0.01699412221255305
70 0.01699631909239473
71 0.01699976707900861
72 0.01700429132431241
73 0.01701000936894786
74 0.01701676495513635
75 0.01702448991012517
76 0.01703296198835099
77 0.01704189568061638
78 0.01705101067111685
79 0.01706001985413767
80 0.01706868756719284
81 0.01707678201356542
82 0.01708418692720197
83 0.01709076769233368
84 0.01709652501012554
85 0.017101520215646
86 0.01710574744276257
87 0.01710901438639686
88 0.01711175231618818
89 0.0171141197242547
90 0.01711601667357866
91 0.0171175122053546
92 0.01711864908482642
93 0.01711947340989353
94 0.01712001801622258
95 0.01712035428851435
96 0.01712053713969548
97 0.01712062172273435
98 0.01712061511987695
99 0.0171205413191477
100 0.017120386952166
101 0.01712020450169746
102 0.01712001449397957
103 0.01711982981785866
104 0.01711965261099171
105 0.01711948614162254
106 0.01711934009310032
107 0.01711920022250641
108 0.01711908997439894
109 0.01711898910886958
110 0.017118910111508
111 0.0171188346284698
112 0.01711878033762248
113 0.01711872416574095
114 0.01711868125062228
115 0.01711863584291991
116 0.01711861621756892
117 0.01711859382110828
118 0.01711859082692397
