Iteration cl
1 1.016324966269206
2 0.1977466420719008
3 0.1012819364243727
4 0.06499672952044276
5 0.04545007153666599
6 0.01346050049794157
7 -0.03084742951417913
8 -0.07650325513883771
9 -0.1056991178671637
10 -0.1134757759943623
11 -0.1070180798211898
12 -0.09732217914220516
13 -0.08382995233006461
14 -0.06162577105744087
15 -0.01974467751115284
16 0.04043112023508923
17 0.1022024116662982
18 0.1491641988492455
19 0.1862671625582076
20 0.2193173557806163
21 0.2457918439006927
22 0.2612280122362634
23 0.2642623302344212
24 0.256926610282416
25 0.2426899677484047
26 0.2255368139492517
27 0.2078893996443097
28 0.1915965056219613
29 0.1795409691408769
30 0.174707747961739
31 0.1798093139257183
32 0.1930533236456417
33 0.2078491972884156
34 0.2204012210796534
35 0.2312742094581584
36 0.2405785668763818
37 0.246812313217346
38 0.2493033588295261
39 0.2486507523124616
40 0.2454786207879067
41 0.2410856214110198
42 0.2368105962163169
43 0.2339390318544457
44 0.2334689274657415
45 0.2362584324669582
46 0.2424109957093593
47 0.2509965416765415
48 0.2605358531646745
49 0.2697218839386987
50 0.2777699726281219
51 0.2841747734673024
52 0.2890911539859011
53 0.292824284870367
54 0.295706866259966
55 0.2979833392308255
56 0.2997544440873596
57 0.3010044517713517
58 0.3017474301853474
59 0.3020531969133546
60 0.3019927489363491
61 0.3016632736531736
62 0.3011410528787847
63 0.3004664356877059
64 0.2996828188118034
65 0.2988186569440297
66 0.2979056160328667
67 0.2969729394145044
68 0.2960356289198537
69 0.2951229351054709
70 0.2942549193751808
71 0.2934528164789391
72 0.2927324052859839
73 0.2921004170437582
74 0.2915596857843938
75 0.291107696044101
76 0.2907413142328189
77 0.2904535844640217
78 0.2902364515429607
79 0.2900796938435666
80 0.2899736962952806
81 0.2899090996180262
82 0.2898773939363635
83 0.2898708141740314
84 0.2898827041768379
85 0.2899076823760519
86 0.2899314529416888
87 0.2899573600324259
88 0.2899877552688015
89 0.2900219200301369
90 0.2900571277317825
91 0.290091962063503
92 0.2901256328878724
93 0.2901570690780897
94 0.2901859616105986
95 0.2902120840683171
96 0.2902353182979789
97 0.2902558403398456
98 0.2902736704833613
99 0.2902891719276468
100 0.2903024523676634
101 0.2903138322640727
102 0.2903234136773659
103 0.2903314974654954
104 0.2903381761599182
105 0.2903437116979185
106 0.290348135264917
107 0.2903517231320906
108 0.2903544975324279
109 0.2903567160880655
110 0.2903583725326068
111 0.2903596713992022
112 0.2903605752481122
113 0.2903612541282605
114 0.2903616534549938
115 0.2903619448605901
116 0.2903620339614229
117 0.290362056616467
118 0.2903619380565672
